Date,VCosSim,CosSim
2019-01-01T00:00:00Z,0.04264234667379858,0.0724013102706885
2019-01-02T00:00:00Z,0.11321728543906305,0.40954669696379603
2019-01-03T00:00:00Z,0.21570674673187543,0.5092903695101286
2019-01-04T00:00:00Z,0.14672471371239,0.39760628405582654
2019-01-05T00:00:00Z,0.14017647143378392,0.3858829341294194
2019-01-07T00:00:00Z,0.16062727344340638,0.4694761115629644
2019-01-08T00:00:00Z,0.18442882507191155,0.5405620986184594
2019-01-09T00:00:00Z,0.12229368203467507,0.3985235916287926
2019-01-10T00:00:00Z,0.08235581585858759,0.5456045248271292
2019-01-11T00:00:00Z,0.13451543217378373,0.45928304926089353
2019-01-12T00:00:00Z,0.17161088419984594,0.45216289832037554
2019-01-13T00:00:00Z,0,0.421295789025513
2019-01-14T00:00:00Z,0.09429678917791903,0.38231107806852505
2019-01-15T00:00:00Z,0.151421271888844,0.5277536914781161
2019-01-16T00:00:00Z,0.3732092561724479,0.5899948440835259
2019-01-17T00:00:00Z,0.13424687246732828,0.4914780017519436
2019-01-18T00:00:00Z,0.12505262577521575,0.46772952091142095
2019-01-19T00:00:00Z,0,0.2027575735499671
2019-01-20T00:00:00Z,0,0.42281562301173164
2019-01-22T00:00:00Z,0.18211108571162088,0.3834309312978007
2019-01-23T00:00:00Z,0.14597578134079026,0.5980610311302541
2019-01-24T00:00:00Z,0.20455470958319052,0.5179445982311555
2019-01-25T00:00:00Z,0.06878387630923477,0.38243772558990785
2019-01-26T00:00:00Z,0.183700711436302,0.507044159881284
2019-01-28T00:00:00Z,0.15655529789605127,0.41151384949611314
2019-01-29T00:00:00Z,0.07558818549607138,0.5376205595528244
2019-01-30T00:00:00Z,0.11542658613831938,0.5087359782507858
2019-01-31T00:00:00Z,0.28757977455851347,0.5268560286203294
2019-02-01T00:00:00Z,0.24496669730778192,0.5756490381764584
2019-02-02T00:00:00Z,0.046750496425001425,0.4601638757131846
2019-02-04T00:00:00Z,0.15875795283141167,0.44574026902528807
2019-02-05T00:00:00Z,0.06248624582574292,0.469702182597453
2019-02-06T00:00:00Z,0.21022609890395325,0.5331145003249079
2019-02-07T00:00:00Z,0.054560082137226386,0.47949402016178555
2019-02-08T00:00:00Z,0.15425341003204032,0.4201140204829165
2019-02-09T00:00:00Z,0.18565502582802612,0.486670542370088
2019-02-11T00:00:00Z,0.09264481456461357,0.4266345568434382
2019-02-12T00:00:00Z,0.21211862552064764,0.4632341819777359
2019-02-13T00:00:00Z,0.13856365596682907,0.439819654123237
2019-02-14T00:00:00Z,0.1854872789327077,0.5345597500527351
2019-02-15T00:00:00Z,0.18426465936955422,0.5653555378821148
2019-02-16T00:00:00Z,0.00958501515570128,0.4161629852977652
2019-02-18T00:00:00Z,0,0.5637360686470657
2019-02-19T00:00:00Z,0.09464898576906439,0.5229587284253431
2019-02-20T00:00:00Z,0.06306411314492014,0.5016032155730721
2019-02-21T00:00:00Z,0.2991556777795622,0.5847551039990164
2019-02-22T00:00:00Z,0.09089571844579702,0.4347691657912848
2019-02-23T00:00:00Z,0.01911080322696246,0.5457234703821245
2019-02-25T00:00:00Z,0.19612798388371983,0.5646557504145411
2019-02-26T00:00:00Z,0.2168278266228871,0.6402528660014266
2019-02-27T00:00:00Z,0.16461713550470514,0.6405563305764284
2019-02-28T00:00:00Z,0.15452612560462556,0.4723121158002388
2019-03-01T00:00:00Z,0.29885189372524185,0.5281712961606853
2019-03-03T00:00:00Z,0,0.3179430516823337
2019-03-04T00:00:00Z,0.05428959703985835,0.5335592112264138
2019-03-05T00:00:00Z,0.22340320161352734,0.5388534660972762
2019-03-06T00:00:00Z,0.20565511764680655,0.5926824616170591
2019-03-07T00:00:00Z,0.12602781498443424,0.47980219233854626
2019-03-08T00:00:00Z,0.12762889086503443,0.5016649153979491
2019-03-09T00:00:00Z,0.09190009605868585,0.4900074206167224
2019-03-10T00:00:00Z,0.008863504549331276,0.3685008483337652
2019-03-11T00:00:00Z,0.17833374006093236,0.4759337593331954
2019-03-12T00:00:00Z,0.25150685998950567,0.5821851177798334
2019-03-13T00:00:00Z,0.18526658499403656,0.6625477311536802
2019-03-14T00:00:00Z,0.16866617743571044,0.5922348439459094
2019-03-15T00:00:00Z,0.32857676777851874,0.5287309822150353
2019-03-17T00:00:00Z,6.014829683021352e-4,0.3878264622253259
2019-03-18T00:00:00Z,0.026448814465213865,0.5534877589909722
2019-03-19T00:00:00Z,0.2066608799022832,0.4771916825731177
2019-03-20T00:00:00Z,0.19930537854569255,0.6957601383493891
2019-03-21T00:00:00Z,0.2000618214477845,0.5594406127724162
2019-03-22T00:00:00Z,0.15042381786939724,0.5014955484501444
2019-03-23T00:00:00Z,0.1253068311173351,0.3728348660955221
2019-03-25T00:00:00Z,0.26029840431374207,0.46229946526736954
2019-03-26T00:00:00Z,0.27360895276865893,0.6100648104760215
2019-03-27T00:00:00Z,0.2685993423690486,0.5583089006764325
2019-03-28T00:00:00Z,0.2690131416957879,0.5863606244156774
2019-03-29T00:00:00Z,0.20487927321446675,0.6108723583239549
2019-03-30T00:00:00Z,0.14058792665007797,0.3652611214188639
2019-03-31T00:00:00Z,0,0.46081930122540643
2019-04-01T00:00:00Z,0.11211884115174937,0.6839364849989213
2019-04-02T00:00:00Z,0.09881711783450314,0.4667721955122267
2019-04-03T00:00:00Z,0.27183697573743654,0.5248942755343925
2019-04-04T00:00:00Z,0.26566328705484205,0.5703368254983171
2019-04-05T00:00:00Z,0.19061811703076365,0.48347586715278745
