Actual,holdout_id,name,value
-7.473680470645333,1,pred_glmaic,-10.208607530419464
-7.473680470645333,1,pred_mars,-9.702480256268972
-7.473680470645333,1,pred_rf,-9.720955835162117
-7.473680470645333,1,pred_svm,-10.473785125571641
-7.7495464913025796,2,pred_glmaic,-8.48669958989703
-7.7495464913025796,2,pred_mars,-8.16305157355353
-7.7495464913025796,2,pred_rf,-8.637481208535583
-7.7495464913025796,2,pred_svm,-8.567522813698789
-7.47600060380197,3,pred_glmaic,-7.962097451869154
-7.47600060380197,3,pred_mars,-8.216894823153346
-7.47600060380197,3,pred_rf,-8.350533907797418
-7.47600060380197,3,pred_svm,-8.450205663747935
-7.281458911306693,4,pred_glmaic,-8.223519050679597
-7.281458911306693,4,pred_mars,-7.971221075290117
-7.281458911306693,4,pred_rf,-8.363503803837974
-7.281458911306693,4,pred_svm,-8.72030652995096
-7.167930208848748,5,pred_glmaic,-7.62231609949983
-7.167930208848748,5,pred_mars,-7.495562288807265
-7.167930208848748,5,pred_rf,-7.8670343269147
-7.167930208848748,5,pred_svm,-7.95002247732844
-7.536153052182999,6,pred_glmaic,-7.690279239251231
-7.536153052182999,6,pred_mars,-7.772564591378713
-7.536153052182999,6,pred_rf,-7.538608035267547
-7.536153052182999,6,pred_svm,-7.800559722152917
-7.536153052182999,7,pred_glmaic,-7.678990677392703
-7.536153052182999,7,pred_mars,-7.225933751608023
-7.536153052182999,7,pred_rf,-7.941090974105481
-7.536153052182999,7,pred_svm,-7.520801219375535
-7.782135975574697,8,pred_glmaic,-8.153291504195522
-7.782135975574697,8,pred_mars,-7.956651253385605
-7.782135975574697,8,pred_rf,-8.24838367128456
-7.782135975574697,8,pred_svm,-7.8411044777405134
-9.199087808516364,9,pred_glmaic,-7.941784387435173
-9.199087808516364,9,pred_mars,-7.288368469934592
-9.199087808516364,9,pred_rf,-8.165182350690573
-9.199087808516364,9,pred_svm,-8.483428585461388
-9.126745894401472,10,pred_glmaic,-10.165524596787597
-9.126745894401472,10,pred_mars,-10.414358231938621
-9.126745894401472,10,pred_rf,-9.604510818329402
-9.126745894401472,10,pred_svm,-9.786699924521406
