Actual,holdout_id,name,value
-10.744277845027687,1,pred_glm,-10.747663436141071
-10.744277845027687,1,pred_glmaic,-10.651780379552067
-10.744277845027687,1,pred_mars,-10.988464873219403
-10.744277845027687,1,pred_rf,-10.9827023850017
-10.744277845027687,1,pred_svm,-10.866460809735491
-10.933639151511906,2,pred_glm,-10.487547569092909
-10.933639151511906,2,pred_glmaic,-10.528105931247987
-10.933639151511906,2,pred_mars,-10.769187270968793
-10.933639151511906,2,pred_rf,-11.25966983015771
-10.933639151511906,2,pred_svm,-10.708826072365227
-9.906975189584923,3,pred_glm,-9.731104881455535
-9.906975189584923,3,pred_glmaic,-9.653101247494236
-9.906975189584923,3,pred_mars,-9.837101021898203
-9.906975189584923,3,pred_rf,-10.080077728587558
-9.906975189584923,3,pred_svm,-9.77025641835419
-9.825832619329809,4,pred_glm,-9.883462970437623
-9.825832619329809,4,pred_glmaic,-9.93570191626172
-9.825832619329809,4,pred_mars,-10.01468598986021
-9.825832619329809,4,pred_rf,-10.07637696535807
-9.825832619329809,4,pred_svm,-9.918207535829938
-11.629333747046761,5,pred_glm,-10.962063977413008
-11.629333747046761,5,pred_glmaic,-11.097604533066836
-11.629333747046761,5,pred_mars,-11.165706670678318
-11.629333747046761,5,pred_rf,-10.311113631601408
-11.629333747046761,5,pred_svm,-11.130690901091043
-11.737897324034478,6,pred_glm,-10.347313210056893
-11.737897324034478,6,pred_glmaic,-10.392924236994993
-11.737897324034478,6,pred_mars,-10.552842929196752
-11.737897324034478,6,pred_rf,-10.132897949632548
-11.737897324034478,6,pred_svm,-10.665018972454469
-10.141654439103203,7,pred_glm,-9.599919892778308
-10.141654439103203,7,pred_glmaic,-9.4127948681782
-10.141654439103203,7,pred_mars,-9.688378289982078
-10.141654439103203,7,pred_rf,-9.595022171105652
-10.141654439103203,7,pred_svm,-9.647857197122795
-11.845388065955932,8,pred_glm,-11.198088564338358
-11.845388065955932,8,pred_glmaic,-11.202518351599617
-11.845388065955932,8,pred_mars,-11.014948183052544
-11.845388065955932,8,pred_rf,-11.270993488564029
-11.845388065955932,8,pred_svm,-11.276072901601266
-9.826594082501046,9,pred_glm,-10.166943040761655
-9.826594082501046,9,pred_glmaic,-10.11125367560687
-9.826594082501046,9,pred_mars,-10.37155501082178
-9.826594082501046,9,pred_rf,-10.326773139712964
-9.826594082501046,9,pred_svm,-10.337442202932563
-9.074687026513516,10,pred_glm,-9.39632736187637
-9.074687026513516,10,pred_glmaic,-9.097982579934547
-9.074687026513516,10,pred_mars,-9.231332464341929
-9.074687026513516,10,pred_rf,-9.496202556156353
-9.074687026513516,10,pred_svm,-9.115795305720294
-11.04089010715059,11,pred_glm,-11.031238421766375
-11.04089010715059,11,pred_glmaic,-10.940892446066476
-11.04089010715059,11,pred_mars,-10.990008039315788
-11.04089010715059,11,pred_rf,-10.122942129712376
-11.04089010715059,11,pred_svm,-11.193804716540026
-11.600857221863482,12,pred_glm,-9.37607935895972
-11.600857221863482,12,pred_glmaic,-9.309701278066553
-11.600857221863482,12,pred_mars,-9.434787475709376
-11.600857221863482,12,pred_rf,-9.923713538486796
-11.600857221863482,12,pred_svm,-9.486945848621561
-10.085357491113365,13,pred_glm,-11.033426666747655
-10.085357491113365,13,pred_glmaic,-11.041210320049347
-10.085357491113365,13,pred_mars,-11.097494275974636
-10.085357491113365,13,pred_rf,-11.224462514175963
-10.085357491113365,13,pred_svm,-11.23078441023931
-10.456469994529904,14,pred_glm,-10.218441028471418
-10.456469994529904,14,pred_glmaic,-10.108907364393822
-10.456469994529904,14,pred_mars,-10.281025875618822
-10.456469994529904,14,pred_rf,-10.211071892452795
-10.456469994529904,14,pred_svm,-10.281836852326457
-8.449295410323561,15,pred_glm,-8.413936886972493
-8.449295410323561,15,pred_glmaic,-8.544886127504382
-8.449295410323561,15,pred_mars,-8.506236882895763
-8.449295410323561,15,pred_rf,-8.145851825667956
-8.449295410323561,15,pred_svm,-8.131069372481448
-11.069604108787493,16,pred_glm,-10.151826681293732
-11.069604108787493,16,pred_glmaic,-10.115214877576404
-11.069604108787493,16,pred_mars,-10.344208960797785
-11.069604108787493,16,pred_rf,-10.182711308658002
-11.069604108787493,16,pred_svm,-10.364988924924349
-7.554719252703208,17,pred_glm,-8.87504622469258
-7.554719252703208,17,pred_glmaic,-9.202637307612356
-7.554719252703208,17,pred_mars,-9.134319492319193
-7.554719252703208,17,pred_rf,-9.219845081725335
-7.554719252703208,17,pred_svm,-9.052781874361626
-10.881948876823072,18,pred_glm,-10.85407398440668
-10.881948876823072,18,pred_glmaic,-10.945675298905226
-10.881948876823072,18,pred_mars,-11.14372220455697
-10.881948876823072,18,pred_rf,-11.147535159937217
-10.881948876823072,18,pred_svm,-11.305534517743869
-9.67651714180222,19,pred_glm,-9.875478914563022
-9.67651714180222,19,pred_glmaic,-10.115422258821162
-9.67651714180222,19,pred_mars,-10.27390675472768
-9.67651714180222,19,pred_rf,-10.028424263036392
-9.67651714180222,19,pred_svm,-10.174381514883661
-10.048724924423972,20,pred_glm,-9.774681418114213
-10.048724924423972,20,pred_glmaic,-9.730832363094715
-10.048724924423972,20,pred_mars,-9.911804492552738
-10.048724924423972,20,pred_rf,-10.020653177341188
-10.048724924423972,20,pred_svm,-9.56276231564936
-12.47705968185194,21,pred_glm,-9.978555958195955
-12.47705968185194,21,pred_glmaic,-10.036329173044633
-12.47705968185194,21,pred_mars,-10.156879185413642
-12.47705968185194,21,pred_rf,-10.065531218996059
-12.47705968185194,21,pred_svm,-10.115232486962313
-10.147262359542882,22,pred_glm,-10.023920597103741
-10.147262359542882,22,pred_glmaic,-10.435667911122131
-10.147262359542882,22,pred_mars,-10.600833088273749
-10.147262359542882,22,pred_rf,-10.40216363080787
-10.147262359542882,22,pred_svm,-10.119442566433946
-11.700930573782363,23,pred_glm,-11.058360605634407
-11.700930573782363,23,pred_glmaic,-11.092480326289314
-11.700930573782363,23,pred_mars,-11.122421500250796
-11.700930573782363,23,pred_rf,-11.47516967933598
-11.700930573782363,23,pred_svm,-11.26319525852506
-10.931322265155725,24,pred_glm,-11.105449195807147
-10.931322265155725,24,pred_glmaic,-11.11754175100331
-10.931322265155725,24,pred_mars,-11.657153619899107
-10.931322265155725,24,pred_rf,-11.29377297852986
-10.931322265155725,24,pred_svm,-11.028155280585278
-10.873290061994405,25,pred_glm,-10.74791884107794
-10.873290061994405,25,pred_glmaic,-10.814246648986847
-10.873290061994405,25,pred_mars,-10.948716456874958
-10.873290061994405,25,pred_rf,-11.081112062192219
-10.873290061994405,25,pred_svm,-11.001623731188678
-9.100176163354437,26,pred_glm,-9.149122725797953
-9.100176163354437,26,pred_glmaic,-9.068237804109316
-9.100176163354437,26,pred_mars,-9.15586822312849
-9.100176163354437,26,pred_rf,-9.571931305854354
-9.100176163354437,26,pred_svm,-9.174020889664883
-11.174285450155168,27,pred_glm,-11.208654343818974
-11.174285450155168,27,pred_glmaic,-11.467850196578189
-11.174285450155168,27,pred_mars,-11.304230225721751
-11.174285450155168,27,pred_rf,-11.334220574727729
